Bouvet Island (Bouvetoya);Samuelburgh;14399368.88695113;512811095.71332264
Malaysia;East Joseph;4271070.371942038;1003686524.0466518
Gibraltar;Martinfort;15510557.547763174;295839437.40089977
Israel;Lake Cynthiafurt;14964928.993884362;53321726.08703947
Solomon Islands;South Alexandra;2906718.244106807;448632187.17279637
Belize;South Hunterborough;13368891.85418256;1254054857.0340629
Mauritius;East Jeremiahborough;2708229.461522737;354316138.60565686
Netherlands Antilles;Tranton;18506868.699186567;864475344.670852
Finland;Port Adrienneborough;7569364.43832942;1090757600.2305875
Kyrgyz Republic;Port Vincent;1310512.2894355697;886961187.000219
Iraq;Jonathanshire;17608345.91066401;946377458.7020744
Mayotte;Jenniferhaven;11697396.793733258;401553147.3680289
Slovenia;West Jessica;4687933.761464495;443271227.6549332
Macao;Masonmouth;6548537.8745985115;1270869797.997722
China;Martinhaven;19096438.07655864;82298759.26943123
Saint Kitts and Nevis;South Monica;4935079.211403427;1031984680.6514385
Senegal;Horneside;17733682.587426554;715577655.0924523
Netherlands;Port Jose;6826244.534887717;382963327.1372566
Russian Federation;Taraburgh;10218861.672412015;42520990.97483639
Liechtenstein;North Michelleborough;11789065.819014838;492709834.7284597
France;East Barryborough;14619109.764635058;498309588.68906873
Mali;Chaseland;4851846.042731196;41929495.46653482
Estonia;East Johnside;16786196.050029628;176288283.54455513
Venezuela;Jamesshire;9333423.540271385;620673108.4665359
Libyan Arab Jamahiriya;East Sharonport;14039277.582261963;1286898067.7175472
Guadeloupe;New Patriciaside;19220747.877522517;964194050.5113915
United States of America;Robertobury;19479267.484928887;1408278951.12843
Peru;Port Jorgefort;9942053.681196854;1314602077.7670908
Palestinian Territory;West Samanthaborough;17370194.51885217;1166015561.1644654
Botswana;Port Marcville;12467619.324052418;441480410.0882084
Seychelles;Byrdport;19768823.881486934;215540721.19157505
Monaco;West Alexandermouth;7916485.120941792;1329101251.7022178
Bermuda;West Thomaschester;16334155.142961012;281785218.83588386
Kiribati;North Emily;14616292.027699716;1076491754.341938
Vanuatu;East Bobby;607942.1984983296;377379635.00289065
Falkland Islands (Malvinas);Port Jeffreyborough;6992009.298068661;550109484.907447
Montenegro;New Robertbury;19984656.118938018;1184266010.69289
Marshall Islands;West Michellebury;10500556.873918217;133739573.7548929
Guinea;Port Michaelfort;13114352.22871256;321586270.7635088
Norfolk Island;New Johnborough;377927.7872101766;827799417.0052608
Togo;West Sarahville;19753876.259436816;972897087.6393183
Bhutan;Port Christopherstad;5956063.417060847;1232303195.5797074
Holy See (Vatican City State);Brianside;11150015.976677394;1387127980.2927284
Costa Rica;Hernandezland;14266748.161567135;1297901402.9182446
Samoa;Greentown;140311.1710936716;337911776.08468854
Saudi Arabia;Cassandrabury;14583702.530382982;1156048795.0464385
Trinidad and Tobago;Joyland;9496355.802985493;455339766.0669932
Kazakhstan;New Robert;5753575.049765222;1135822460.746996
Colombia;Port Robert;13166021.673286676;3312051.3153936663
French Guiana;Drakebury;19095357.350364853;426492331.84973663
Albania;New Dylanside;10372983.917534245;882702827.53352
Barbados;Huffside;3146992.5410866966;176745320.1424378
Turkey;Daltonberg;9307945.732408132;126173672.93160033
Malawi;Michaelland;9432173.675693704;1030324345.4033357
Palau;Richardstad;7095954.404224016;1065429431.0265292
Syrian Arab Republic;Olsenland;16188373.757462215;386773933.2492351
Saint Martin;Jessicashire;13401135.220729867;369944161.4062722
Italy;South Cheryl;6232071.829423044;280194618.5170589
Jamaica;Rochashire;2584218.1671644533;816894263.429908
Angola;Port Diana;14635613.092777137;504275455.8324509
Lesotho;Brucefort;1066660.408499382;1132357163.0646281
Micronesia;Amyland;8571780.180693053;803503054.104663
Dominica;South Kathryn;11706191.637898521;1417514615.7117684
New Zealand;Port Morganshire;3019225.9266407;117438437.97574912
Bosnia and Herzegovina;South Katrinaton;6360262.474757864;378810381.3502256
Kuwait;West Aliceport;9893038.50562311;561817558.6446844
Eritrea;Kendramouth;32393.77687619335;914386666.2490926
Serbia;New Nancy;886345.2761550599;599728590.115246
South Africa;Michaelfurt;6166369.844698359;673101989.7186638
Yemen;Stephensland;10874120.274615878;422256433.6867942
Myanmar;Clarencestad;1185531.7241474278;1286664582.3540921
Guyana;Bentleyburgh;19348224.282731105;820288301.1986842
Cambodia;North Fred;5601264.886044537;1250763.7669894327
Gabon;Mcmillanton;14918846.271499233;636401714.1956164
United States Virgin Islands;Zacharyborough;11320293.602174029;703784708.1376419
Niue;Perezhaven;12749409.150391426;89250725.42604098
Timor-Leste;Leahchester;18324213.17811012;782146511.2451328
Azerbaijan;East Jeffreyville;8459363.978230376;785427012.5814734
Czech Republic;Cassandrahaven;2138203.6752979243;294818511.7938764
Bulgaria;Careyberg;18427339.975615714;182343486.57228664
Indonesia;West Vicki;8603136.354459513;647083311.0464275
Saint Pierre and Miquelon;Valdezbury;15658047.663887795;1234160004.7269945
Mozambique;East Corey;9203554.97314689;942569757.8793293
Ukraine;North Jose;9110248.229725853;861696369.7015089
Tokelau;West Alan;5713498.864677299;47845397.94204926
Croatia;Allenton;1456833.2852708416;789464273.5910023
Guinea-Bissau;Fishertown;1745515.3355089265;1215189097.1520336
Sao Tome and Principe;Elizabethland;6647419.011219417;554736445.2112064
Turkmenistan;West Glenn;9738110.595800238;1371535857.9079826
Fiji;Clarkchester;14592064.473278634;384355120.8744745
South Georgia and the South Sandwich Islands;Smithfurt;450585.51550664904;1079881752.2693408
Egypt;Martinezville;12264711.287718667;321135567.30140495
Nigeria;North Joshuahaven;3124470.8003649972;368568692.5631979
Saint Vincent and the Grenadines;Lake Abigail;3406678.667718285;932261083.3931983
Honduras;South Stephaniefort;8510821.219385874;1459357447.5718405
Lebanon;North Haleyfurt;6609238.463589286;489099077.43438745
Svalbard & Jan Mayen Islands;Reneeview;17384898.142331533;733965633.5334394
Qatar;Port Tracy;13390311.698280811;197227932.71443048
Germany;Adamfort;4463603.505179529;355458191.02269304
Reunion;Stevensonbury;9166051.371608986;643718982.8850437
Uzbekistan;Davidmouth;4260612.442091049;1040501212.9236652
Ireland;Port Chadmouth;4062254.0490442575;1355569963.1622474
British Virgin Islands;East Donnabury;14838870.299462225;1272982947.6525357
Iran;East Diana;1260906.5980907425;429136191.04197973
Puerto Rico;East Evan;118798.34971397494;753776021.2848451
Romania;West Biancatown;4251505.882732027;1488699188.1269062
Mongolia;Greenburgh;12902309.079339838;1104593047.315223
American Samoa;East Catherineton;17686234.14472579;1470849364.397123
Lithuania;New Bonnieland;14048924.394544514;544934285.0379782
Andorra;Allenfort;275228.3922070092;586335332.8418716
Brazil;Timothyborough;18949952.570361134;1023565835.8109789
French Polynesia;Hernandeztown;13104264.871687632;616712645.4478372
Macedonia;West Corey;12739676.615702318;403710789.52548295
Tunisia;Pereztown;15723623.157393632;803927928.0783176
Denmark;Lake Ronnieton;16262019.016183384;642103275.4249616
Zimbabwe;Port Richardberg;3489834.454071729;1021906416.9382542
Anguilla;New Jeremy;3301185.1744090333;630509768.589847
Australia;Robinsonton;9310291.987806445;230485844.35860127
Tajikistan;New Ernestberg;892906.2154138573;907925136.5533344
Nepal;South Jillianville;5028366.260543448;1144830019.9170735
United Kingdom;North Charles;18684004.31774291;1096888552.4044104
Jordan;Mendozatown;15378259.82916302;814059910.6872276
Spain;New Meghan;10323522.598356238;562290208.9717602
Antigua and Barbuda;New Dominiqueshire;16225153.279809758;956429613.2524929
Latvia;Port Lindsay;5937701.91316766;1128593770.142817
Saint Helena;Lake Holly;14187364.82627407;20191141.94476454
Chile;New Angela;13825905.660238901;302531802.1574284
Comoros;Lake Samantha;12098489.76740658;1372261827.2309413
Northern Mariana Islands;Michaelberg;17216053.893832188;791230502.9404103
